 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:9543
 * Running on http://172.17.0.2:9543
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 138-778-947
172.21.0.4 - - [07/May/2024 23:41:13] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:41:17] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:41:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:41:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:41:28] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:41:39] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:42:01] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:42:02] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:42:04] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:42:05] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:42:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:42:34] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:42:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:42:38] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:42:50] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:43:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:43:33] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:43:54] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:44:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:44:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:44:39] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:44:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:44:42] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:44:49] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:44:53] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:45:00] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:45:02] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:45:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:45:23] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:45:24] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:45:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:45:55] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:45:59] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:46:09] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:46:12] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:46:26] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:46:27] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:46:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:46:37] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:46:43] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:47:19] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:23] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:31] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:47:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:47:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:50] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:47:59] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:48:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:48:16] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:48:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:48:21] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:00] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:49:11] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:49:20] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:24] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:32] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:49:39] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:40] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:46] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:49:58] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:50:07] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:50:10] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:50:21] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:50:24] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:50:44] "POST /record_run HTTP/1.1" 200 -
172.21.0.4 - - [07/May/2024 23:50:50] "POST /record_run HTTP/1.1" 200 -
172.21.0.3 - - [07/May/2024 23:50:58] "POST /record_run HTTP/1.1" 200 -
